source,source_url,published_at,symbol,related_symbols,title,summary,quality_flag,event_type,sentiment,impact_score,confidence
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-05-13 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-05-13 收盘 2.135e+04; 1日涨跌 2.74%, 5日涨跌 13.25%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.85,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-05-14 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-05-14 收盘 2.144e+04; 1日涨跌 0.45%, 5日涨跌 10.01%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.8006976863489452,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-05-15 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-05-15 收盘 1.923e+04; 1日涨跌 -10.31%, 5日涨跌 -3.05%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.8244730460734937,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-05-18 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-05-18 收盘 1.861e+04; 1日涨跌 -3.26%, 5日涨跌 -6.63%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.5306839279442022,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-05-19 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-05-19 收盘 1.871e+04; 1日涨跌 0.54%, 5日涨跌 -9.97%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.7973434717743872,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-05-20 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-05-20 收盘 1.848e+04; 1日涨跌 -1.20%, 5日涨跌 -13.42%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.85,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-05-21 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-05-21 收盘 1.831e+04; 1日涨跌 -0.92%, 5日涨跌 -14.60%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.85,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-05-29 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-05-29 收盘 1.836e+04; 1日涨跌 3.19%, 5日涨跌 -1.73%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.2554243957279372,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-06-08 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-06-08 收盘 1.62e+04; 1日涨跌 -7.55%, 5日涨跌 -10.75%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.85,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-06-09 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-06-09 收盘 1.646e+04; 1日涨跌 1.57%, 5日涨跌 -11.14%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.85,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-06-10 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-06-10 收盘 1.562e+04; 1日涨跌 -5.08%, 5日涨跌 -13.25%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.85,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2025-12-29 00:00:00,600362,600362,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2025-12-29 收盘 1.82e+04; 1日涨跌 -0.62%, 5日涨跌 12.31%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.85,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2025-12-30 00:00:00,600362,600362,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2025-12-30 收盘 1.814e+04; 1日涨跌 -0.36%, 5日涨跌 10.33%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.8267137035460124,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2025-12-31 00:00:00,600362,600362,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2025-12-31 收盘 1.707e+04; 1日涨跌 -5.88%, 5日涨跌 -3.04%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.47012127894156563,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-01-05 00:00:00,600362,600362,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-01-05 收盘 1.825e+04; 1日涨跌 6.87%, 5日涨跌 4.89%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.5496075904884616,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-01-06 00:00:00,600362,600362,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-01-06 收盘 1.945e+04; 1日涨跌 6.60%, 5日涨跌 6.18%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.5283060229078753,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-01-07 00:00:00,600362,600362,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-01-07 收盘 1.929e+04; 1日涨跌 -0.83%, 5日涨跌 5.96%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.4767920900851408,0.7
