date,holding_count,gross_weight,event_exposed_weight,risk_event_weight,weighted_event_impact,weighted_positive_events,weighted_negative_events,weighted_risk_events
2023-04-20,3,0.8971612300486054,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-21,3,0.8971700747042373,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-24,3,0.891803108260907,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-25,3,0.8932308064944252,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-26,3,0.8951710037824772,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-27,3,0.8947192841716438,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-28,3,0.8948501913537563,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,3,0.8961545681059763,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-02,3,0.8961755174936132,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-03,3,0.8965692935178153,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-04,3,0.8966967466917461,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-05,3,0.8976655510377747,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-08,3,0.8975531937361031,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-09,3,0.8970176699927095,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-10,3,0.8963612224494965,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-11,3,0.8964610317290502,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,3,0.8958520336077731,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-15,3,0.8904128166465117,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-16,3,0.8896769986922932,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-17,3,0.8902486749263967,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-18,3,0.8889152329357985,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-19,3,0.8885933816704723,0.0,0.0,0.0,0.0,0.0,0.0
