date,symbol,side,price,shares,gross_value,fee,tax,cost_basis,realized_pnl,slippage_rate,close
2020-04-27,600988,SELL,8.845486215384,1300,11499.132079999199,3.4497396239997595,11.4991320799992,10993.439581487999,490.7436268071997,0.0008,8.75431557
2020-04-27,600111,SELL,8.602503367295999,16000,137640.05387673597,41.29201616302079,137.64005387673598,132116.26868812798,5344.853118568222,0.0008,8.55121932
2020-04-27,601899,BUY,3.53498287572,1600,5655.972601152,1.6967917803455999,0.0,0.0,0.0,0.0008,3.43379328
2020-04-27,600219,BUY,1.6284009193919997,87500,142485.08044679998,42.74552413403999,0.0,0.0,0.0,0.0008,1.61130216
2020-04-27,002460,BUY,28.522368975455997,200,5704.4737950911995,1.7113421385273597,0.0,0.0,0.0,0.0008,28.1693544
2020-05-06,601899,SELL,3.502526375488,100,350.2526375488,0.10507579126463999,0.35025263754880004,354.3932199456,-4.59591082561343,0.0008,3.54109932
2020-05-06,600988,SELL,8.118997891368,16000,129903.966261888,38.97118987856639,129.903966261888,136450.41475534558,-6715.323649598038,0.0008,8.20410045
2020-05-06,600219,SELL,1.6336897817759999,1300,2123.7967163087997,0.6371390148926398,2.1237967163088,2116.9211952096,4.114585367998643,0.0008,1.6586934
2020-05-06,002460,SELL,30.981701874335997,400,12392.680749734398,3.717804224920319,12.392680749734398,11894.549521190398,482.02074356934645,0.0008,32.9877966
2020-05-06,600547,BUY,25.014510051551998,100,2501.4510051551997,0.7504353015465598,0.0,0.0,0.0,0.0008,25.32795988
2020-05-06,600489,BUY,7.366990030919999,400,2946.7960123679995,0.8840388037103998,0.0,0.0,0.0,0.0008,7.44044236
2020-05-06,000807,BUY,3.5971496193599997,39200,141008.265078912,42.3024795236736,0.0,0.0,0.0,0.0008,3.69411515
2020-05-11,601899,SELL,3.565071489336,40200,143315.87387130718,42.99476216139215,143.3158738713072,142451.75550015358,677.8077351209067,0.0008,3.53215715
2020-05-11,600489,SELL,7.35521226908,19100,140484.554339428,42.145366301828396,140.484554339428,141367.6861849512,-1065.7617661644472,0.0008,7.36110115
2020-05-11,000807,SELL,3.6730214802,100,367.30214802,0.11019064440599999,0.36730214802,359.71496193599995,7.109693291574104,0.0008,3.6850387
2020-05-11,002460,SELL,33.39909613056,200,6679.819226111999,2.0039457678335997,6.6798192261119995,5947.274760595199,723.8607005228541,0.0008,32.86649316
