date,symbol,shares,close,market_value,weight
2026-02-12,000831,900,58.36,52524.0,0.009935252924741558
2026-02-13,601899,5200,37.78,196456.0,0.03841535769629095
2026-02-13,600489,26900,29.51,793819.0,0.15522478738807666
2026-02-13,600988,16200,36.9872768,599193.8841599999,0.1171674440558513
2026-02-13,600362,900,55.03,49527.0,0.009684598182922395
2026-02-13,000630,112500,6.9956868,787014.765,0.15389427510352124
2026-02-13,000878,2200,22.08230124,48581.062728,0.009499627916490554
2026-02-13,600219,128800,6.5223495,840078.6156,0.16427047538013048
2026-02-13,601168,18900,31.81627188,601327.5385319999,0.11758466264882192
2026-02-13,600497,28800,8.80834463,253680.325344,0.04960510464735729
2026-02-13,601958,30500,20.64,629520.0,0.12309746700008695
2026-02-13,000960,7100,35.73055066,253686.909686,0.04960639216137124
2026-02-13,000831,900,55.82,50238.0,0.009823628394888755
2026-02-24,601899,18600,39.32,731352.0,0.13819432628220218
2026-02-24,600489,5700,31.1,177270.0,0.033496467118495576
2026-02-24,600988,3400,39.00025728,132600.874752,0.02505590816841044
2026-02-24,600362,100,57.11,5711.0,0.0010791353512366912
2026-02-24,000630,120900,7.45214296,900964.0838639999,0.17024377396116638
2026-02-24,000878,400,23.15780206,9263.120824000001,0.001750334642611653
2026-02-24,600219,131900,6.62943285,874422.1929149999,0.16522848893021996
2026-02-24,601168,4100,32.68453275,134006.584275,0.025321527296380913
2026-02-24,600497,6100,9.12612031,55669.333890999995,0.010519129080997534
2026-02-24,601958,38800,21.18,821784.0,0.15528211617592244
2026-02-24,000960,1400,36.6441723,51301.84122,0.009693859296801553
2026-02-24,600111,12300,54.7883656,673896.89688,0.12733776300331204
2026-02-24,000831,12200,57.8,705160.0,0.1332451557131965
2026-02-25,601899,18600,39.63,737118.0,0.13309511347792918
2026-02-25,600489,5700,31.49,179493.0,0.03240952086842804
2026-02-25,600988,3400,38.8713472,132162.58048,0.023863470497968504
2026-02-25,600362,100,57.64,5764.0,0.001040756343064182
2026-02-25,000630,120900,7.67044808,927357.172872,0.167444979172901
2026-02-25,000878,400,24.09516516,9638.066064,0.0017402634266099298
2026-02-25,600219,131900,6.86306925,905238.8340749999,0.16345125929069756
2026-02-25,601168,4100,34.08173415,139735.110015,0.02523077760181863
2026-02-25,600497,6100,9.93049,60575.989,0.010937689935658591
2026-02-25,601958,38800,22.17,860196.0000000001,0.15531825872283783
2026-02-25,000960,1400,39.93122407,55903.713698,0.01009405701457972
2026-02-25,600111,12300,60.2632132,741237.5223600001,0.1338389405123783
2026-02-25,000831,12200,62.71,765062.0,0.13814072334097316
2026-02-26,601899,18600,39.37,732282.0,0.13387277946272108
2026-02-26,600489,5700,31.07,177099.0,0.03237650982827441
2026-02-26,600988,3400,38.44495232,130712.837888,0.02389638270437705
2026-02-26,600362,100,56.9,5690.0,0.001040222366715122
2026-02-26,000630,120900,7.53152664,910561.570776,0.16646511637828643
2026-02-26,000878,400,23.84849066,9539.396263999999,0.0017439531386241602
2026-02-26,600219,131900,6.84359955,902670.780645,0.16502255462339696
2026-02-26,601168,4100,33.68253375,138098.38837499998,0.025246578628292896
2026-02-26,600497,6100,10.20854372,62272.116691999996,0.011384331916645429
2026-02-26,601958,38800,22.3,865240.0,0.15817961345810055
2026-02-26,000960,1400,40.05039211,56070.548954,0.010250586842872757
2026-02-26,600111,12300,58.936884,724923.6732,0.1325275604611465
2026-02-26,000831,12200,60.33,736026.0,0.134557242123702
2026-02-27,601899,18600,39.55,735630.0,0.12844839521749377
2026-02-27,600489,5700,31.84,181488.0,0.03168962977479508
2026-02-27,600988,3400,39.58531072,134590.05644800002,0.023500777242604978
2026-02-27,600362,100,58.04,5804.0,0.001013436762832312
2026-02-27,000630,120900,7.86890728,951350.890152,0.16611543184584449
2026-02-27,000878,400,25.2594688,10103.78752,0.0017642229008639411
2026-02-27,600219,131900,6.8922738,909090.91422,0.1587364150977574
2026-02-27,601168,4100,34.58073465,141781.012065,0.02475639040286743
2026-02-27,600497,6100,10.95333047,66815.315867,0.011666626019963973
2026-02-27,601958,38800,24.53,951764.0,0.16618756497938192
2026-02-27,000960,1400,44.05245212,61673.432967999994,0.010768801560965801
2026-02-27,600111,12300,62.227776,765401.6448,0.13364682377199158
2026-02-27,000831,12200,64.98,792756.0,0.13842316925497802
2026-03-02,000630,120600,8.35513232,1007628.9577919999,0.1709388274250655
2026-03-02,600497,86200,11.14200978,960441.243036,0.16293368568426594
2026-03-02,601958,38300,26.48,1014184.0,0.17205085504206918
2026-03-02,000960,21000,48.4616696,1017695.0616,0.17264648773829133
2026-03-02,600111,15300,61.5695976,942014.84328,0.15980774617687205
2026-03-02,000831,15000,63.51,952650.0,0.16161194325273048
2026-03-03,000630,120600,7.70021696,928646.165376,0.1720090664903927
2026-03-03,600497,86200,10.1290998,873128.4027600001,0.16172575420497895
